total_people,tap_closure_days_per_week,avg_daily_usage,hourly_usage,remaining_units,leak_detected
4,2,264.85,9.61,2142.29,0
1,3,75.18,7.62,873.52,0
2,3,122.69,11.71,137.64,1
4,4,171.75,23.97,3.97,1
5,1,260.83,0.47,315.42,0
4,2,223.07,17.06,70.89,1
2,4,110.71,7.97,136.98,1
5,4,300.95,1.06,105.85,1
2,2,93.19,3.61,5.18,0
3,1,162.35,4.5,236.5,0
5,4,121.47,7.08,3.27,1
4,2,206.72,13.25,278.0,0
6,4,209.94,16.83,1778.9,0
4,5,134.39,2.26,248.24,0
4,2,196.44,5.96,2910.73,0
1,4,59.42,1.79,115.19,1
3,3,291.52,12.02,2046.11,0
2,4,121.87,2.16,103.74,1
2,3,102.66,0.73,2096.57,1
8,1,489.8,9.64,127.49,0
3,3,164.38,0.64,128.13,1
6,2,497.21,34.04,29.49,0
4,4,147.94,2.08,1.61,1
5,3,206.42,4.7,321.03,0
4,1,284.37,26.33,359.15,1
4,2,192.26,3.15,2146.68,1
3,4,253.62,1.21,95.37,1
2,2,82.35,8.09,64.19,0
5,4,259.88,20.69,5.42,1
2,2,67.19,1.1,154.26,0
1,3,42.0,4.67,586.47,1
4,4,105.61,2.49,250.29,0
2,1,124.03,0.38,181.11,1
7,2,275.53,5.23,59.76,0
7,4,303.37,1.66,378.76,1
7,3,328.21,41.99,247.2,0
3,3,248.03,9.72,2957.92,1
1,4,40.45,0.59,7.36,1
7,3,582.85,10.4,11.09,0
3,4,104.8,1.41,13.74,1
8,3,431.04,39.2,100.43,0
8,3,318.0,39.6,92.14,1
6,2,205.85,0.0,473.31,0
2,4,85.07,3.47,350.11,1
3,4,143.92,11.29,0.6,1
6,2,345.67,38.58,85.89,0
3,3,253.0,28.25,169.38,0
2,3,98.47,3.13,293.34,0
4,3,296.0,7.13,121.36,0
7,5,268.97,20.38,105.66,1
5,1,314.85,4.46,515.0,1
4,5,196.57,2.98,76.84,0
1,1,57.83,1.12,244.82,0
4,3,265.58,23.54,2594.4,0
10,3,327.35,25.17,277.43,0
2,2,89.07,3.15,1273.9,0
4,3,225.12,19.35,137.44,0
6,4,215.36,0.83,26.84,1
5,2,332.16,24.27,443.77,0
5,1,272.72,6.39,12.59,1
5,3,396.07,1.62,448.73,1
3,4,68.44,13.53,6.16,1
2,5,119.69,3.5,100.74,0
5,2,241.73,8.5,120.48,1
5,4,307.81,9.87,22.12,1
6,3,336.66,32.48,422.96,0
7,2,295.89,9.15,37.86,0
4,5,259.7,8.08,3.18,1
4,2,295.36,17.6,126.68,0
5,4,366.11,9.33,137.46,0
4,4,205.7,0.52,114.45,0
5,3,151.35,9.36,473.26,0
5,3,272.02,30.11,2163.74,1
6,3,432.16,50.02,100.88,0
3,2,179.91,1.05,4.53,1
3,4,140.48,2.3,117.6,1
1,4,38.52,0.05,261.82,1
4,3,268.2,12.26,268.02,1
1,5,80.31,5.47,96.04,1
3,3,190.53,0.0,65.14,0
4,3,220.86,9.71,46.14,0
2,3,166.84,4.9,87.91,1
4,2,168.63,15.4,144.66,0
1,4,66.46,1.39,10.18,0
1,4,43.4,1.35,62.6,0
6,4,338.09,11.48,8.1,0
3,3,228.72,5.94,37.89,1
2,4,121.49,0.0,471.81,0
4,3,338.23,19.17,220.92,0
5,3,238.68,5.73,26.59,0
2,4,126.66,6.84,301.7,0
4,3,299.89,3.86,117.66,0
1,3,40.37,3.06,484.62,0
1,2,80.87,2.63,23.75,0
4,5,168.32,6.23,8.63,0
4,2,211.83,26.18,105.04,1
4,2,178.52,2.64,71.53,0
5,1,319.1,7.27,13.08,0
8,3,320.8,28.55,75.37,0
4,2,183.29,1.71,609.6,1
3,4,165.86,16.7,383.14,0
5,2,287.53,1.52,267.62,1
2,4,75.33,4.35,123.28,1
3,2,213.34,9.55,51.54,0
1,2,44.39,5.63,2485.65,1
1,4,49.26,1.41,2281.15,0
8,3,291.55,25.07,77.17,1
6,1,176.72,4.08,95.43,0
5,5,272.32,5.86,60.51,0
3,2,151.43,19.37,12.66,0
2,2,103.64,0.35,254.06,0
2,3,73.41,1.78,50.48,0
2,1,119.05,1.34,2787.93,1
4,2,194.25,24.4,141.3,0
5,4,236.94,8.94,8.58,0
4,2,193.06,6.67,143.21,1
2,1,94.65,8.24,76.96,0
7,4,364.42,34.11,74.56,0
5,3,297.7,1.14,253.56,1
4,2,172.88,16.49,216.34,1
4,3,175.51,9.95,3.31,1
3,1,206.04,4.94,3.32,1
2,3,171.78,2.62,24.65,0
3,3,258.83,25.05,3.37,1
5,5,164.27,2.08,121.14,1
1,2,59.49,2.53,22.63,0
1,4,52.83,0.23,5.01,0
1,2,98.63,0.0,5.36,0
1,3,58.38,6.59,10.44,0
6,2,514.46,0.0,114.41,0
5,3,374.8,7.86,9.84,1
3,3,146.18,11.25,186.3,0
1,5,46.09,0.21,18.31,0
3,4,87.8,0.0,2171.42,0
3,3,136.28,3.58,55.62,0
2,2,74.13,2.31,25.4,0
3,3,150.81,5.09,137.17,0
3,4,193.37,14.14,0.54,1
4,0,164.66,4.11,9.59,1
4,3,357.33,6.02,332.85,1
1,1,58.51,5.06,133.63,1
3,2,189.86,2.5,10.99,0
4,1,171.12,13.35,219.34,1
4,5,158.76,13.81,12.38,0
6,2,305.51,2.94,297.96,0
4,2,155.85,0.79,253.82,1
2,5,161.92,10.24,105.62,1
1,3,41.34,2.3,5.29,0
4,4,91.79,8.66,87.03,0
1,2,63.58,0.31,2980.27,0
4,3,210.89,17.04,14.7,0
7,0,271.67,7.43,44.76,0
4,3,266.71,4.29,523.81,0
3,3,167.89,12.57,359.49,0
4,3,397.08,48.32,96.28,0
3,3,226.51,7.83,2.66,1
4,4,260.12,5.14,108.05,1
7,3,271.65,15.87,9.16,0
3,3,143.21,0.0,97.97,0
8,2,333.58,0.72,569.37,1
6,4,258.32,1.83,23.53,1
2,3,156.66,11.1,97.71,0
1,3,50.37,2.22,12.97,0
1,3,41.8,4.66,233.65,1
1,4,37.06,0.7,506.43,0
1,4,68.8,2.06,13.83,0
5,2,435.02,12.86,5.15,0
1,4,39.95,3.54,178.8,0
3,1,174.14,0.33,132.16,0
6,0,334.57,25.01,20.65,0
1,4,44.11,0.0,6.86,1
5,2,304.23,26.2,569.3,0
2,2,93.07,2.61,71.41,0
1,3,71.77,3.48,55.42,1
5,4,200.23,2.03,66.61,1
4,2,345.7,1.19,18.6,0
6,1,246.39,17.87,1473.61,0
5,1,411.62,1.0,6.06,1
5,0,220.76,19.16,482.91,1
2,1,153.3,14.96,9.28,0
2,5,96.88,1.84,109.53,1
5,1,358.7,9.3,1621.89,1
5,3,316.27,5.28,328.75,0
10,4,414.12,251.86,127.25,0
3,3,197.06,18.74,252.7,1
3,0,291.98,7.33,14.8,0
5,3,317.88,3.48,169.62,0
3,4,103.17,12.99,304.07,0
7,2,260.9,8.68,119.19,1
6,2,376.52,5.28,115.97,0
3,2,257.42,8.74,146.0,0
5,3,283.06,7.81,68.63,0
5,2,313.96,24.46,777.91,0
1,4,67.5,3.99,1774.04,0
6,3,281.01,22.17,253.76,1
4,3,207.39,21.47,39.52,0
6,4,257.62,4.2,5.24,0
3,1,204.86,7.85,169.14,0
6,4,389.64,46.32,504.86,0
3,3,144.94,12.76,59.14,1
1,3,47.58,0.91,19.65,0
6,1,176.97,3.52,64.44,1
1,3,99.17,3.52,361.89,1
3,3,83.6,0.0,210.65,0
7,3,388.79,6.11,2756.82,0
7,2,247.36,3.59,97.71,0
4,0,325.48,24.55,133.61,1
4,3,293.57,20.15,2.89,1
3,3,150.93,0.0,144.1,1
2,3,143.17,9.02,99.43,1
3,3,123.88,12.05,249.87,0
4,2,201.98,16.39,114.53,0
5,2,383.85,35.8,9.97,1
5,3,234.51,82.93,97.4,1
5,3,181.7,19.16,565.46,0
1,3,56.3,6.33,2.07,1
3,4,149.44,0.47,487.04,0
1,4,43.69,4.05,2778.68,0
4,1,186.09,3.39,590.6,0
3,3,165.7,0.0,593.4,1
6,3,372.14,2.01,110.76,1
3,3,122.95,10.3,25.66,0
1,5,63.7,0.91,54.96,0
2,3,59.73,4.4,337.79,0
5,3,278.04,21.66,2156.94,0
4,5,181.16,2.95,85.2,0
1,2,46.41,0.69,205.92,1
1,1,56.68,3.36,111.11,1
5,2,240.74,3.22,9.68,0
1,1,43.45,1.88,2695.44,0
6,1,198.07,12.6,51.8,0
5,5,244.6,0.84,145.33,1
1,5,51.31,6.24,1290.01,0
1,3,92.67,3.06,597.78,0
9,4,350.9,12.29,216.58,1
3,2,187.74,0.13,14.48,1
3,3,131.95,0.0,533.69,0
5,2,229.1,0.33,52.83,0
7,3,343.7,1.16,6.46,0
9,3,350.34,32.81,2644.65,0
5,3,374.4,22.84,1.58,1
3,1,111.77,0.61,698.1,1
1,1,73.77,2.61,108.31,0
5,3,136.08,0.08,431.78,0
4,3,328.02,28.02,191.24,0
3,2,167.56,17.9,70.49,0
6,2,288.0,19.18,83.51,1
1,4,58.56,2.85,124.22,0
3,1,270.6,0.87,11.66,1
1,3,84.21,1.97,32.0,0
3,2,166.18,19.04,326.42,1
1,3,35.14,4.17,596.85,0
1,3,52.49,1.09,61.78,0
1,4,51.27,0.0,14.17,1
4,3,232.48,9.23,6.56,0
5,0,269.25,8.55,129.49,0
4,4,198.87,16.53,500.84,1
8,3,312.05,78.3,1415.62,0
3,4,153.47,3.17,197.14,0
2,4,63.69,1.43,131.67,0
6,3,436.42,40.4,576.82,1
2,5,96.14,4.61,79.08,0
8,3,383.31,6.84,470.92,0
1,3,58.18,1.81,489.38,0
8,3,416.97,42.12,130.91,0
1,3,61.31,2.7,26.08,1
6,3,253.92,4.58,596.49,1
4,4,124.52,11.06,2027.01,1
10,3,614.64,0.7,2875.65,0
1,3,79.92,5.95,2232.02,0
4,3,195.41,1.24,320.76,0
8,0,694.31,1.58,38.99,1
4,1,264.31,5.37,449.13,0
4,2,138.58,11.33,9.83,1
5,3,254.49,10.17,353.91,0
3,4,133.88,9.06,294.84,0
4,3,166.78,2.79,1403.62,0
4,5,210.69,6.29,9.45,0
6,0,432.19,11.56,579.5,0
1,4,42.84,5.58,1.3,1
2,2,118.19,4.11,430.3,0
7,0,467.68,1.54,306.53,0
6,4,277.11,9.85,9.99,1
3,2,198.17,5.23,11.08,0
4,2,250.65,5.47,118.16,0
2,3,78.69,5.28,260.86,0
2,4,173.3,14.09,242.18,0
3,3,178.81,18.57,493.75,1
3,2,240.58,8.46,183.56,0
4,2,226.41,7.13,25.63,1
1,1,74.38,0.49,250.14,1
8,2,370.79,0.0,0.67,0
9,4,452.02,0.16,363.37,1
5,4,291.46,1.12,2.61,1
4,5,245.27,3.83,510.78,1
3,4,244.2,3.54,9.29,0
5,4,285.25,42.7,848.27,1
5,4,284.56,0.91,15.03,1
2,5,115.02,4.26,31.19,0
7,4,379.72,30.8,9.52,0
6,3,314.87,0.75,10.6,1
7,2,499.09,15.29,13.13,0
5,3,208.64,16.16,1.79,0
4,3,152.18,12.08,203.81,0
3,3,179.0,16.22,2.28,1
7,3,403.07,12.57,58.57,0
6,3,430.75,10.42,21.46,1
1,1,57.48,1.76,5.35,0
1,2,46.97,5.51,12.17,0
3,4,80.86,1.45,284.4,1
5,3,202.16,0.97,345.62,0
9,2,518.56,45.17,299.92,0
2,4,128.46,0.73,1236.15,1
4,2,249.47,20.13,108.97,1
3,3,132.45,0.83,146.37,1
8,2,213.23,2.82,272.11,0
6,4,357.43,33.99,120.92,0
6,4,335.32,8.22,1015.17,0
3,3,83.92,0.65,0.61,1
3,4,211.76,13.64,21.41,0
2,4,80.06,1.93,103.49,0
1,3,57.13,4.67,0.79,1
6,4,203.83,0.89,10.2,1
5,3,274.3,27.74,93.91,1
10,3,470.22,35.12,515.63,1
10,3,531.9,2.2,1.81,1
4,2,360.79,5.6,147.3,0
5,1,318.94,0.41,2896.98,0
7,4,363.22,1.24,36.92,0
6,2,490.64,43.95,401.6,1
2,3,119.19,1.74,128.91,1
3,2,166.22,4.87,74.12,1
2,3,88.08,4.36,199.49,0
7,2,283.77,27.28,48.43,1
4,4,190.6,15.72,8.47,0
2,5,96.87,0.84,78.84,1
4,5,155.8,4.64,73.29,0
4,3,81.71,3.18,133.42,0
3,5,169.22,3.21,70.12,0
1,3,51.24,3.73,72.19,1
4,3,97.15,1.75,0.88,1
4,2,318.3,21.24,145.36,0
5,4,370.7,25.66,23.35,1
4,2,257.81,27.84,63.97,1
6,3,158.87,3.63,268.34,0
4,4,183.69,5.47,14.23,0
4,3,253.33,8.51,2213.32,0
6,1,284.02,11.73,213.86,0
3,3,140.47,12.62,110.07,1
2,4,174.89,16.83,107.03,0
1,2,33.76,1.57,3.33,1
5,4,138.87,3.36,5.17,0
4,4,129.93,0.63,84.75,1
5,5,417.5,1.79,49.57,0
2,3,67.05,7.46,85.08,0
2,0,111.21,3.18,2074.6,0
1,3,67.05,1.15,112.2,0
3,3,173.13,0.39,138.75,0
4,4,173.87,5.44,51.53,0
3,4,136.24,13.85,95.34,1
3,4,164.16,5.37,91.06,1
6,3,120.06,8.83,414.83,0
3,3,165.29,5.55,142.24,0
4,0,192.46,8.22,1.85,0
5,3,401.02,37.39,43.46,1
3,4,207.81,18.19,1075.85,0
4,3,310.66,8.11,384.56,0
6,3,228.13,0.0,14.3,0
7,1,592.87,13.64,294.2,0
2,2,98.36,1.95,30.34,1
7,3,353.81,12.53,132.16,0
3,4,250.59,19.27,14.14,0
2,1,138.54,12.36,47.93,1
3,2,115.35,0.33,1519.21,0
9,3,455.99,36.29,92.83,0
3,2,121.49,9.46,433.3,0
3,2,121.57,2.78,446.84,0
4,2,156.62,9.49,335.9,0
2,3,83.53,0.0,113.87,0
1,3,63.98,6.44,1614.08,0
2,4,80.2,2.82,116.16,0
2,3,123.42,10.52,1.25,1
2,3,112.72,3.58,467.53,0
2,2,95.69,1.28,97.75,0
4,3,293.91,33.08,566.81,0
2,3,115.35,2.61,67.93,0
3,2,200.12,16.13,31.49,0
6,3,318.12,31.49,222.99,0
3,2,112.71,8.14,9.77,1
4,3,169.57,0.6,1.25,0
2,3,82.2,7.0,18.31,0
2,3,160.17,2.08,130.6,1
1,4,50.09,3.68,102.0,0
2,5,127.55,11.31,71.01,1
2,4,109.93,12.31,2675.61,0
2,4,75.19,0.41,24.63,0
1,0,74.12,1.74,9.38,0
2,3,96.25,0.81,106.81,0
3,0,243.54,5.81,556.89,0
2,2,125.0,0.67,488.99,1
3,3,198.72,15.06,300.0,1
4,4,214.23,31.65,99.63,0
5,3,219.38,31.25,3.97,1
1,3,53.25,0.96,105.03,0
5,3,393.71,12.77,109.9,0
4,3,230.98,6.98,148.97,0
1,4,78.35,0.3,1282.01,1
6,2,355.27,0.64,45.65,1
7,4,489.55,54.35,2885.9,1
1,2,51.14,3.6,118.08,0
2,4,74.67,2.75,590.06,0
5,0,289.82,4.19,96.04,0
5,3,413.88,0.59,52.5,1
2,5,134.62,1.9,536.97,1
2,3,116.29,0.44,147.43,0
3,3,200.32,0.0,1340.33,0
3,3,136.56,4.19,118.9,0
4,2,299.16,3.7,66.88,0
3,1,180.63,0.42,131.39,0
3,2,132.92,12.26,9.34,1
5,2,253.94,22.24,189.57,0
1,4,87.17,0.21,10.72,0
2,4,83.6,1.03,131.58,0
5,2,260.76,3.97,560.01,1
6,4,383.63,35.21,384.55,0
4,2,159.81,5.1,1.6,1
4,2,176.59,5.34,145.95,0
1,4,69.16,1.05,167.25,0
3,2,239.31,6.47,8.81,0
4,1,153.08,12.84,56.47,0
2,3,141.41,11.84,2379.75,0
2,5,49.57,1.37,106.82,1
3,3,164.14,13.7,562.42,0
1,2,75.51,3.35,105.81,0
3,3,143.75,1.01,93.71,1
2,3,79.94,1.76,303.4,0
3,3,213.28,1.21,117.95,1
1,4,59.15,0.47,56.62,1
6,4,237.99,6.94,362.59,0
4,4,190.24,0.33,6.63,0
4,3,254.04,6.43,473.36,1
5,3,185.9,4.05,103.61,0
3,3,176.5,16.21,1297.78,1
1,3,68.38,0.35,25.47,1
4,2,182.63,4.4,216.72,0
4,3,213.65,3.92,4.82,1
5,2,237.32,4.31,12.62,1
3,4,87.68,2.35,283.41,0
2,2,141.13,1.47,4.15,0
2,4,79.38,1.71,539.07,0
3,3,294.48,0.46,489.81,1
4,4,225.45,17.69,120.22,0
4,2,282.51,4.82,1932.73,0
3,4,227.51,17.12,6.2,0
9,2,426.78,46.63,2304.43,0
4,3,276.14,9.25,58.73,1
2,1,183.39,17.48,59.15,0
1,3,48.42,0.7,105.02,1
2,4,169.57,9.0,159.13,0
2,4,120.44,0.0,336.99,1
2,1,90.01,2.8,192.44,1
2,3,130.83,4.9,130.28,0
2,4,77.65,2.56,73.85,0
2,3,101.39,2.52,17.39,0
6,1,279.47,11.0,116.18,0
1,2,76.84,1.63,136.36,0
4,3,350.34,1.89,89.2,1
3,2,209.48,0.76,148.42,1
9,3,304.11,5.79,22.77,0
1,3,59.28,0.24,34.09,0
3,2,179.69,18.24,578.27,0
8,3,308.13,7.17,103.55,0
6,4,416.28,0.47,2066.53,1
5,3,194.32,5.42,47.66,0
2,2,117.24,3.27,8.76,1
2,3,112.58,11.22,79.55,1
4,1,213.52,7.34,148.87,0
7,4,189.89,1.99,20.47,0
4,5,329.25,10.57,526.07,0
4,5,242.65,20.02,142.97,0
2,3,78.86,6.01,1106.5,0
5,3,206.8,1.44,10.68,1
2,4,165.47,18.84,147.26,0
3,2,240.45,3.99,142.39,0
3,0,196.71,8.99,72.96,1
4,3,268.17,23.95,104.75,1
2,4,124.15,3.72,2758.88,1
1,3,68.39,0.0,83.91,0
4,3,305.56,0.79,20.36,1
2,3,99.93,2.97,1.04,1
4,3,132.11,1.74,450.27,1
2,1,112.81,4.37,525.5,0
3,3,154.19,5.29,214.6,0
4,3,282.7,1.41,59.06,1
1,3,44.49,0.35,43.53,1
3,4,139.3,4.46,234.23,0
2,3,98.65,0.89,4.83,1
1,4,70.51,2.16,10.95,0
9,3,473.74,11.59,78.57,0
3,3,147.26,5.5,481.02,0
5,4,206.16,0.41,540.59,1
2,4,144.82,9.6,108.7,0
5,3,208.23,6.64,343.11,1
5,2,147.68,11.44,11.68,1
4,2,234.86,5.58,443.69,1
3,0,190.17,5.77,397.88,0
3,2,129.94,4.64,98.96,0
3,3,156.63,3.02,2151.18,1
7,4,283.59,28.65,350.78,1
6,3,323.67,14.76,5.8,1
8,0,191.3,0.0,438.24,0
2,2,110.59,6.32,216.73,0
5,3,413.1,39.13,183.69,0
7,3,308.9,0.42,126.0,1
2,4,113.92,0.0,7.98,0
1,5,46.91,4.28,78.21,0
5,4,265.35,11.83,2.2,1
4,3,253.92,27.29,70.39,0
6,4,429.47,0.0,391.86,0
2,2,112.31,2.14,7.96,1
5,1,316.11,33.64,73.02,0
2,1,148.54,5.07,30.01,0
2,2,80.82,27.6,151.12,0
2,0,120.15,4.16,109.01,0
5,4,210.24,5.45,11.63,0
4,3,270.53,15.84,248.4,1
4,4,288.71,31.36,8.72,0
3,4,255.83,14.89,12.65,1
6,5,299.28,32.25,10.58,1
3,4,143.38,9.88,19.08,0
5,3,335.37,8.39,104.07,0
3,3,175.62,0.81,129.63,1
3,3,154.26,1.09,10.98,1
3,4,181.09,11.28,147.38,0
3,4,130.82,0.66,130.0,1
5,5,167.99,6.71,7.37,0
4,4,301.08,19.66,1560.16,1
2,3,109.84,13.79,30.17,0
6,5,197.86,5.49,269.02,0
3,5,238.73,15.12,13.31,0
4,3,219.87,17.59,11.04,1
6,3,212.88,8.91,534.23,0
4,4,160.95,0.26,361.91,1
1,3,43.8,1.27,121.29,0
7,4,546.4,42.98,44.99,0
4,1,125.92,4.96,321.76,0
3,3,194.48,0.0,253.93,1
2,3,188.28,13.82,379.17,1
5,3,272.95,19.35,454.9,1
4,1,241.49,7.77,112.7,0
4,1,317.24,9.33,707.49,0
6,4,326.26,10.49,30.67,0
5,2,347.96,11.74,1551.6,1
2,2,55.8,4.28,37.19,0
3,4,219.27,23.31,123.0,0
2,3,129.63,13.23,127.85,0
5,4,258.88,31.01,518.2,0
1,3,62.55,4.39,139.64,0
4,4,198.67,1.08,1933.98,1
5,3,420.5,13.12,130.68,1
6,4,367.96,7.39,77.13,0
